Region,County,District,District Name,Charter Status,Staff_Category,Staff,FTE Count,Total Base Pay,Average Base Pay
12,HILL COUNTY,109901,ABBOTT ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,24.25,1273976,52540
17,HALE COUNTY,95901,ABERNATHY ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,67.39,3245017,48156
14,TAYLOR COUNTY,221901,ABILENE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,1077.4,57444183,53317
12,BELL COUNTY,14901,ACADEMY ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,118.84,5813706,48921
16,OLDHAM COUNTY,180903,ADRIAN ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,17.22,831142,48279
2,NUECES COUNTY,178901,AGUA DULCE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,35.08,1800875,51335
20,BEXAR COUNTY,15901,ALAMO HEIGHTS ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,353.02,20793993,58903
7,WOOD COUNTY,250906,ALBA-GOLDEN ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,79.01,3972832,50282
14,SHACKELFORD COUNTY,209901,ALBANY ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,43.69,2330574,53347
4,HARRIS COUNTY,101902,ALDINE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,4148.49,255637406,61622
11,PARKER COUNTY,184907,ALEDO ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,385.94,23150447,59985
2,JIM WELLS COUNTY,125901,ALICE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,294.85,15120997,51284
4,HARRIS COUNTY,101903,ALIEF ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,3252.89,203728589,62630
10,COLLIN COUNTY,43901,ALLEN ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,1357.99,82419350,60692
18,BREWSTER COUNTY,22901,ALPINE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,82.52,4082736,49476
7,CHEROKEE COUNTY,37901,ALTO ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,57.57,3034570,52711
11,JOHNSON COUNTY,126901,ALVARADO ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,229.47,13715622,59771
4,BRAZORIA COUNTY,20901,ALVIN ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,1771.37,108046638,60996
11,WISE COUNTY,249901,ALVORD ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,60.24,3181788,52822
16,POTTER COUNTY,188901,AMARILLO ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,2223.2,127618374,57403
17,LAMB COUNTY,140901,AMHERST ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,19.0,816696,42984
4,CHAMBERS COUNTY,36901,ANAHUAC ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,94.45,5219001,55255
6,GRIMES COUNTY,93901,ANDERSON-SHIRO CISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,68.75,3561353,51804
18,ANDREWS COUNTY,2901,ANDREWS ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,278.99,17223926,61737
4,BRAZORIA COUNTY,20902,ANGLETON ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,422.47,25322046,59938
10,COLLIN COUNTY,43902,ANNA ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,257.83,13996651,54287
14,JONES COUNTY,127901,ANSON ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,71.82,3621611,50424
19,EL PASO COUNTY,71906,ANTHONY ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,58.0,3298012,56860
17,HOCKLEY COUNTY,110901,ANTON ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,21.21,955183,45026
6,TRINITY COUNTY,228905,APPLE SPRINGS ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,18.42,924796,50207
12,HILL COUNTY,109912,AQUILLA ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,27.73,1315260,47427
2,ARANSAS COUNTY,4901,ARANSAS COUNTY ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,205.15,10783797,52566
2,SAN PATRICIO COUNTY,205901,ARANSAS PASS ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,114.36,6283084,54942
9,ARCHER COUNTY,5901,ARCHER CITY ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,47.08,2572666,54648
11,DENTON COUNTY,61910,ARGYLE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,235.04,14344301,61029
11,TARRANT COUNTY,220901,ARLINGTON ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,4039.62,237825471,58873
7,SMITH COUNTY,212901,ARP ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,78.52,3894062,49592
14,STONEWALL COUNTY,217901,ASPERMONT ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,20.45,886888,43379
10,HENDERSON COUNTY,107901,ATHENS ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,197.14,10147813,51474
8,CASS COUNTY,34901,ATLANTA ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,130.29,6208523,47653
11,DENTON COUNTY,61907,AUBREY ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,158.33,8637411,54552
13,TRAVIS COUNTY,227901,AUSTIN ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,5477.34,299650617,54707
3,REFUGIO COUNTY,196901,AUSTWELL-TIVOLI ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,17.49,943775,53950
10,ELLIS COUNTY,70901,AVALON ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,31.43,1621797,51598
8,RED RIVER COUNTY,194902,AVERY ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,33.5,1675081,50003
8,CASS COUNTY,34902,AVINGER ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,17.89,913394,51063
12,MCLENNAN COUNTY,161918,AXTELL ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,74.5,3967279,53249
11,TARRANT COUNTY,220915,AZLE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,430.54,24824293,57659
14,CALLAHAN COUNTY,30903,BAIRD ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,33.23,1585188,47703
15,RUNNELS COUNTY,200901,BALLINGER ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,77.87,3942315,50626
18,REEVES COUNTY,195902,BALMORHEA ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,19.53,1130194,57858
20,BANDERA COUNTY,10902,BANDERA ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,149.16,7922637,53115
15,BROWN COUNTY,25901,BANGS ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,68.89,3322051,48223
2,NUECES COUNTY,178913,BANQUETE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,81.61,4371200,53559
4,CHAMBERS COUNTY,36902,BARBERS HILL ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,425.35,30868283,72572
13,BELL COUNTY,14902,BARTLETT ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,29.12,1395213,47910
13,BASTROP COUNTY,11901,BASTROP ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,708.61,37370224,52737
3,MATAGORDA COUNTY,158901,BAY CITY ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,226.66,12672292,55908
5,JEFFERSON COUNTY,123910,BEAUMONT ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,1109.99,57292511,51615
7,PANOLA COUNTY,183901,BECKVILLE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,67.43,3260694,48354
2,BEE COUNTY,13901,BEEVILLE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,203.82,11029076,54111
9,CLAY COUNTY,39904,BELLEVUE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,16.86,878183,52092
10,GRAYSON COUNTY,91901,BELLS ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,72.05,3669936,50934
6,AUSTIN COUNTY,8901,BELLVILLE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,170.76,8840557,51773
12,BELL COUNTY,14903,BELTON ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,781.29,42762134,54733
2,JIM WELLS COUNTY,125902,BEN BOLT-PALITO BLANCO ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,31.75,1437873,45294
2,DUVAL COUNTY,66901,BENAVIDES ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,24.39,1173498,48119
9,KNOX COUNTY,138904,BENJAMIN ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,14.8,742792,50191
6,POLK COUNTY,187901,BIG SANDY ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,40.8,2413593,59153
7,UPSHUR COUNTY,230901,BIG SANDY ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,72.85,3544733,48660
18,HOWARD COUNTY,114901,BIG SPRING ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,273.62,13103340,47889
11,TARRANT COUNTY,220902,BIRDVILLE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,1560.22,93627884,60009
2,NUECES COUNTY,178902,BISHOP CISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,104.42,5714068,54721
14,NOLAN COUNTY,177903,BLACKWELL CISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,22.16,1167446,52676
13,BLANCO COUNTY,16902,BLANCO ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,77.94,4161276,53392
10,HUNT COUNTY,116915,BLAND ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,60.61,3206459,52901
15,BROWN COUNTY,25904,BLANKET ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,20.65,948977,45965
8,CASS COUNTY,34909,BLOOMBURG ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,24.92,1174246,47122
12,NAVARRO COUNTY,175902,BLOOMING GROVE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,74.27,3636414,48963
3,VICTORIA COUNTY,235901,BLOOMINGTON ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,64.32,3475753,54040
10,COLLIN COUNTY,43917,BLUE RIDGE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,64.13,3526483,54993
11,ERATH COUNTY,72904,BLUFF DALE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,19.98,963414,48224
12,HILL COUNTY,109913,BLUM ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,29.74,1393000,46839
20,KENDALL COUNTY,130901,BOERNE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,609.23,34292409,56289
10,HUNT COUNTY,116916,BOLES ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,48.02,2563837,53387
3,WHARTON COUNTY,241901,BOLING ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,72.0,3777390,52464
10,FANNIN COUNTY,74903,BONHAM ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,135.41,6559209,48439
16,LIPSCOMB COUNTY,148901,BOOKER ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,38.44,1916493,49856
17,BORDEN COUNTY,17901,BORDEN COUNTY ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,19.86,1336886,67305
16,HUTCHINSON COUNTY,117901,BORGER ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,194.01,9964932,51363
12,MCLENNAN COUNTY,161923,BOSQUEVILLE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,56.91,2970811,52199
16,PARMER COUNTY,185901,BOVINA ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,44.22,2351626,53178
9,MONTAGUE COUNTY,169901,BOWIE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,121.62,5990392,49255
11,WISE COUNTY,249902,BOYD ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,95.3,5025641,52732
16,OLDHAM COUNTY,180901,BOYS RANCH ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,57.07,3353221,58753
20,KINNEY COUNTY,136901,BRACKETT ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,55.12,2717159,49297
15,MCCULLOCH COUNTY,160901,BRADY ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,97.26,4960351,50999
6,AUSTIN COUNTY,8903,BRAZOS ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,64.14,3263048,50873
4,BRAZORIA COUNTY,20905,BRAZOSPORT ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,865.66,52197710,60298
14,STEPHENS COUNTY,215901,BRECKENRIDGE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,108.66,5248104,48297
6,ROBERTSON COUNTY,198901,BREMOND ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,41.41,2224355,53721
6,WASHINGTON COUNTY,239901,BRENHAM ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,366.03,19328137,52804
5,ORANGE COUNTY,181901,BRIDGE CITY ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,187.24,9535352,50927
11,WISE COUNTY,249903,BRIDGEPORT ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,167.95,8806586,52437
7,SAN AUGUSTINE COUNTY,203902,BROADDUS ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,36.0,2024795,56246
11,PARKER COUNTY,184909,BROCK ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,119.75,6165086,51483
15,COKE COUNTY,41901,BRONTE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,27.64,1409302,50980
5,JASPER COUNTY,121902,BROOKELAND ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,36.93,1809428,48993
15,BROWN COUNTY,25908,BROOKESMITH ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,18.0,915433,50852
1,BROOKS COUNTY,24901,BROOKS COUNTY ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,108.95,5363846,49232
17,TERRY COUNTY,223901,BROWNFIELD ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,126.6,5940391,46921
7,HENDERSON COUNTY,107902,BROWNSBORO ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,193.9,9406342,48511
1,CAMERON COUNTY,31901,BROWNSVILLE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,2859.18,168567514,58957
15,BROWN COUNTY,25902,BROWNWOOD ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,263.13,12789262,48604
12,MCLENNAN COUNTY,161919,BRUCEVILLE-EDDY ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,66.29,3372784,50881
6,BRAZOS COUNTY,21902,BRYAN ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,1169.85,59416484,50790
9,JACK COUNTY,119901,BRYSON ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,23.15,1188724,51347
6,MILAM COUNTY,166907,BUCKHOLTS ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,14.86,721581,48566
18,PECOS COUNTY,186901,BUENA VISTA ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,19.47,994960,51097
6,LEON COUNTY,145901,BUFFALO ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,77.95,3962413,50831
7,SMITH COUNTY,212902,BULLARD ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,204.53,9835992,48090
5,JASPER COUNTY,121903,BUNA ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,124.09,6126955,49373
9,WICHITA COUNTY,243901,BURKBURNETT ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,242.75,13287378,54738
5,NEWTON COUNTY,176901,BURKEVILLE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,25.12,1388269,55264
