Region,County,District,District Name,Charter Status,Staff_Category,Staff,FTE Count,Total Base Pay,Average Base Pay
17,DICKENS COUNTY,63906,PATTON SPRINGS ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,11.61,528368,45528
2,BEE COUNTY,13902,PAWNEE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,32.1,1563093,48696
4,BRAZORIA COUNTY,20908,PEARLAND ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,1299.24,78745242,60609
20,FRIO COUNTY,82903,PEARSALL ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,147.86,7644305,51700
11,PARKER COUNTY,184908,PEASTER ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,113.76,5893060,51801
18,REEVES COUNTY,195901,PECOS-BARSTOW-TOYAH ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,174.61,10791598,61805
12,HILL COUNTY,109914,PENELOPE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,21.14,994616,47059
9,JACK COUNTY,119903,PERRIN-WHITT CISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,31.41,1756728,55933
16,OCHILTREE COUNTY,179901,PERRYTON ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,180.31,8920359,49473
17,HALE COUNTY,95904,PETERSBURG ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,26.64,1249330,46889
9,CLAY COUNTY,39903,PETROLIA CISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,45.87,2324896,50679
2,BEE COUNTY,13903,PETTUS ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,41.37,2209843,53422
8,MORRIS COUNTY,172905,PEWITT CISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,75.43,3676445,48742
13,TRAVIS COUNTY,227904,PFLUGERVILLE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,1817.17,100239713,55162
1,HIDALGO COUNTY,108909,PHARR-SAN JUAN-ALAMO ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,2176.07,125340367,57599
11,DENTON COUNTY,61903,PILOT POINT ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,111.45,5701563,51159
7,GREGG COUNTY,92904,PINE TREE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,314.98,15084672,47890
8,CAMP COUNTY,32902,PITTSBURG ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,188.49,9189404,48753
17,YOAKUM COUNTY,251902,PLAINS ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,41.82,2184650,52244
17,HALE COUNTY,95905,PLAINVIEW ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,339.46,16756869,49364
10,COLLIN COUNTY,43910,PLANO ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,3855.13,228568805,59290
8,BOWIE COUNTY,19912,PLEASANT GROVE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,167.6,8756264,52244
20,ATASCOSA COUNTY,7905,PLEASANTON ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,237.92,12986781,54584
16,HUTCHINSON COUNTY,117904,PLEMONS-STINNETT-PHILLIPS CISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,71.66,3750805,52339
1,CAMERON COUNTY,31909,POINT ISABEL ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,143.01,31695330,221633
11,DENTON COUNTY,61906,PONDER ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,103.81,5678952,54704
11,PARKER COUNTY,184901,POOLVILLE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,48.61,2383727,49043
2,NUECES COUNTY,178908,PORT ARANSAS ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,48.38,2754723,56940
5,JEFFERSON COUNTY,123907,PORT ARTHUR ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,547.75,29313971,53517
5,JEFFERSON COUNTY,123908,PORT NECHES-GROVES ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,353.04,19576063,55450
